SKU,Title,Color,MRP,Brand,Partial Description,Image URL,HSN,Fabric,Sleeve Type,Fit,Neckline,Wash Care,SEO Keywords,Occasion,Pattern,Fabric Composition,Style Code,Size Chart,Age Band,Country of Origin,Manufacturer
NYK-KRT-2241,Anouk Mustard Embroidered Anarkali Kurti,Mustard Yellow,1899,Anouk,"Floor-length anarkali style kurti with mirror work on yoke, gathered flare from waist",https://example.com/anouk-anarkali-2241.jpg,,,,,,,,,,,,,,,
HRX-TEE-8812,HRX Oversized Drop Shoulder Tee Black,Black,799,HRX by Hrithik Roshan,"Heavy gauge cotton tee, drop shoulder oversized fit, screen print at back",https://example.com/hrx-oversized-8812.jpg,,,,,,,,,,,,,,,
RRGB-SHRT-554,Roadster Linen Casual Shirt Sky Blue,Sky Blue,1299,Roadster,"Half sleeve linen blend shirt with chest pocket and curved hem",https://example.com/roadster-linen-554.jpg,,,,,,,,,,,,,,,
SNGN-DRS-7790,Sangria Tiered Midi Dress Floral,Multi Pink,2499,Sangria,"Three tier midi dress with tie-up waist, fit and flare silhouette, viscose rayon",https://example.com/sangria-tiered-7790.jpg,,,,,,,,,,,,,,,
URBC-CRD-3315,Urbanic Crop Top And Wide Leg Pant Co-ord Sage,Sage Green,1799,Urbanic,"Matching co-ord set, cropped tie-up top with wide leg high waist pants",https://example.com/urbanic-coord-3315.jpg,,,,,,,,,,,,,,,
LBYJ-KRT-1102,Libas Pink Printed Straight Kurta With Pants,Dusty Pink,1599,Libas,"Straight cut kurta with three quarter sleeves and bootcut pants, ethnic print",https://example.com/libas-kurta-1102.jpg,,,,,,,,,,,,,,,
BWLD-TEE-9921,Bewakoof Acid Wash Boxy Tee Lavender,Lavender,649,Bewakoof,"Boxy fit acid washed cotton tee, dropped sleeves, raw hem finish",https://example.com/bewakoof-acidwash-9921.jpg,,,,,,,,,,,,,,,
TKHI-SHRT-4408,Tokyo Talkies Satin Slip Shirt Champagne,Champagne,1399,Tokyo Talkies,"Satin finish button-down shirt with notched collar, side slits, relaxed fit",https://example.com/tt-satin-4408.jpg,,,,,,,,,,,,,,,
ONYX-DRS-6651,ONLY Knit Bodycon Mini Dress Olive,Olive Green,1899,ONLY,"Ribbed knit bodycon mini dress, square neckline, short puff sleeves",https://example.com/only-bodycon-6651.jpg,,,,,,,,,,,,,,,
HMRC-CRD-2207,H&M Linen Shirt And Shorts Set Cream,Cream Beige,2299,H&M,"Linen blend co-ord, oversized shirt and pleated shorts, beach-ready",https://example.com/hm-linen-2207.jpg,,,,,,,,,,,,,,,
